iter	Passed	Remaining
0	1	132
1	2	112
2	3	115
3	4	107
4	5	104
5	6	99
6	7	96
7	8	92
8	9	91
9	9	87
10	10	85
11	11	82
12	12	81
13	13	81
14	14	80
15	15	80
16	16	79
17	17	78
18	18	78
19	19	76
20	20	75
21	20	74
22	22	73
23	23	73
24	24	72
25	25	71
26	26	70
27	27	69
28	27	68
29	28	67
30	29	66
31	31	66
32	32	65
33	32	63
34	33	62
35	34	61
36	35	61
37	37	60
38	38	59
39	39	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	52
46	49	55
47	49	54
48	51	53
49	51	51
50	52	50
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	56	41
58	57	39
59	58	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	74	17
81	76	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
