iter	Passed	Remaining
0	109	109143
1	110	55114
2	112	37518
3	114	28488
4	115	23048
5	117	19467
6	119	16905
7	120	14956
8	122	13456
9	124	12304
10	125	11300
11	127	10481
12	129	9810
13	131	9292
14	133	8752
15	134	8263
16	135	7851
17	137	7493
18	139	7183
19	140	6881
20	141	6613
21	143	6381
22	144	6133
23	145	5914
24	146	5731
25	148	5559
26	149	5390
27	150	5231
28	151	5086
29	153	4952
30	154	4842
31	156	4736
32	157	4625
33	159	4525
34	160	4430
35	162	4345
36	163	4253
37	165	4189
38	166	4113
39	168	4046
40	169	3972
41	170	3899
42	173	3850
43	174	3793
44	175	3730
45	177	3675
46	178	3628
47	180	3586
48	181	3530
49	183	3495
50	185	3447
51	186	3399
52	188	3360
53	190	3331
54	191	3289
55	192	3247
56	193	3207
57	195	3180
58	197	3149
59	199	3119
60	200	3089
61	202	3059
62	203	3030
63	205	3000
64	206	2969
65	208	2951
66	210	2926
67	211	2895
68	212	2865
69	213	2840
70	215	2823
71	217	2798
72	218	2772
73	219	2748
74	221	2728
75	222	2703
76	224	2685
77	225	2664
78	226	2644
79	227	2621
80	229	2598
81	230	2577
82	230	2551
83	232	2537
84	234	2519
85	235	2500
86	236	2480
87	237	2461
88	239	2447
89	240	2432
90	241	2416
91	243	2399
92	245	2391
93	246	2373
94	247	2358
95	249	2345
96	250	2329
97	251	2313
98	252	2297
99	253	2282
100	254	2267
101	256	2255
102	257	2245
103	258	2230
104	260	2216
105	261	2202
106	262	2189
107	264	2181
108	265	2169
109	266	2157
110	267	2143
111	268	2130
112	270	2121
113	271	2108
114	272	2095
115	273	2082
116	274	2070
117	276	2063
118	277	2055
119	278	2043
120	279	2032
121	280	2019
122	282	2013
123	283	2003
124	285	1995
125	286	1985
126	287	1974
127	288	1967
128	289	1957
129	291	1948
130	292	1938
131	293	1930
132	295	1924
133	296	1916
134	297	1905
135	298	1896
136	299	1888
137	301	1881
138	302	1871
139	303	1863
140	304	1856
141	305	1847
142	308	1846
143	309	1839
144	310	1832
145	312	1830
146	314	1827
147	315	1818
148	316	1809
149	319	1808
150	320	1800
151	322	1798
152	323	1792
153	325	1787
154	327	1783
155	328	1777
156	330	1772
157	331	1766
158	333	1763
159	334	1758
160	335	1749
161	337	1743
162	338	1739
163	340	1734
164	341	1730
165	343	1725
166	344	1719
167	346	1714
168	347	1708
169	348	1701
170	349	1695
171	351	1690
172	352	1684
173	353	1679
174	355	1674
175	356	1668
176	357	1663
177	358	1657
178	359	1649
179	360	1642
180	361	1637
181	363	1632
182	364	1626
183	365	1620
184	366	1613
185	367	1607
186	368	1601
187	369	1597
188	370	1591
189	371	1585
190	372	1579
191	373	1572
192	375	1568
193	376	1563
194	377	1558
195	378	1553
196	379	1547
197	380	1542
198	382	1538
199	383	1534
200	384	1529
201	385	1524
202	387	1519
203	388	1516
204	389	1511
