iter	Passed	Remaining
0	1	1559
1	3	1588
2	4	1424
3	5	1348
4	6	1297
5	7	1254
6	9	1283
7	10	1246
8	11	1224
9	12	1215
10	13	1201
11	14	1199
12	15	1183
13	16	1173
14	18	1189
15	19	1177
16	20	1164
17	21	1159
18	22	1159
19	23	1151
20	24	1151
21	25	1150
22	27	1148
23	28	1146
24	29	1142
25	30	1136
26	31	1131
27	32	1136
28	33	1138
29	35	1134
30	36	1131
31	37	1124
32	38	1116
33	39	1120
34	40	1116
35	41	1112
36	43	1133
37	44	1131
38	45	1123
39	46	1118
40	47	1114
41	49	1121
42	50	1113
43	50	1106
44	51	1099
45	52	1091
46	53	1085
47	54	1080
48	55	1075
49	56	1069
50	57	1077
51	58	1073
52	59	1070
53	60	1068
54	62	1075
55	63	1074
56	64	1070
57	65	1068
58	66	1067
59	67	1065
60	69	1064
61	70	1062
62	71	1057
63	72	1056
64	73	1058
65	74	1054
66	75	1050
67	76	1050
68	78	1052
69	78	1049
70	79	1045
71	80	1041
72	81	1037
73	82	1034
74	83	1029
75	84	1025
76	85	1024
77	86	1023
78	88	1026
79	89	1025
80	90	1022
81	91	1021
82	91	1014
83	93	1016
84	94	1013
85	95	1010
86	95	1006
87	96	1002
88	97	1000
89	98	996
90	99	993
91	100	990
92	101	988
93	102	992
94	104	992
95	105	990
96	106	987
97	107	987
98	108	987
99	109	984
100	110	981
101	111	978
102	111	974
103	112	972
104	113	968
105	114	965
106	115	962
107	116	961
108	117	964
109	118	961
110	120	961
111	121	960
112	122	958
113	123	956
114	124	954
115	124	951
116	125	946
117	126	945
118	127	942
119	128	939
120	128	936
121	129	933
122	130	931
123	131	931
124	133	932
125	134	931
126	135	928
127	136	927
128	138	933
129	139	931
130	140	929
131	140	926
132	141	924
133	142	921
134	143	919
135	144	917
136	145	915
137	146	914
138	147	914
139	148	913
140	149	912
141	150	909
142	151	908
143	153	910
144	154	909
145	155	906
146	155	904
147	156	902
148	157	901
149	158	899
150	159	896
151	160	895
152	161	895
153	163	895
154	164	894
155	165	894
156	166	896
157	167	894
158	168	892
159	169	890
160	170	886
161	171	884
162	172	883
163	173	882
164	173	879
165	174	877
166	175	875
167	177	876
168	178	875
169	179	874
170	180	873
171	181	875
172	182	874
173	183	872
174	184	870
175	185	868
176	186	866
177	187	864
178	188	862
179	188	860
180	189	859
181	191	858
182	192	860
183	193	858
184	194	857
185	195	856
186	197	857
187	198	856
188	199	855
189	200	853
190	201	853
191	202	851
192	203	850
193	204	848
194	205	847
195	206	847
196	207	847
197	208	846
198	210	845
199	211	846
200	212	845
201	214	846
202	215	845
203	216	844
204	217	843
205	218	842
206	219	840
207	220	838
208	221	839
209	222	838
210	224	837
211	225	838
212	227	840
213	228	838
214	229	836
215	230	835
216	230	833
217	231	831
218	232	829
219	233	827
220	234	825
221	235	824
222	236	824
223	237	823
224	238	822
225	239	821
226	241	821
227	242	822
228	244	821
229	245	820
230	246	819
231	247	819
232	248	818
233	249	816
234	250	815
235	252	815
236	253	814
237	254	813
238	255	812
239	256	812
240	257	811
241	258	810
242	259	808
243	260	807
244	261	805
245	262	804
246	263	802
247	264	801
248	265	800
249	267	801
250	268	800
251	269	799
252	270	798
253	272	799
254	273	798
255	274	797
256	275	795
257	276	794
258	277	792
259	278	791
260	279	790
261	280	789
262	281	790
263	283	789
264	284	788
265	285	788
266	287	788
267	288	786
268	289	785
269	290	784
270	291	783
271	292	781
272	292	780
273	293	778
274	294	776
275	295	776
276	297	776
277	298	774
278	299	773
279	300	772
280	302	774
281	303	773
282	304	772
283	306	772
284	307	771
285	308	770
286	309	768
287	310	767
288	311	766
289	312	766
290	313	764
291	314	763
292	316	762
293	317	762
294	318	760
295	319	759
296	320	757
297	321	756
298	322	755
299	323	753
300	324	752
301	325	751
302	326	751
303	327	750
304	328	749
305	329	747
306	330	747
307	332	747
308	333	746
309	334	744
310	335	743
311	336	741
312	337	740
313	338	739
314	339	737
315	340	736
316	341	736
317	342	735
318	343	734
319	344	732
320	346	732
321	347	731
322	348	729
323	349	728
324	350	727
325	351	725
326	352	724
327	353	723
328	354	722
329	355	721
330	357	721
331	358	720
332	359	719
333	360	718
334	361	717
335	363	717
336	363	716
337	364	714
338	365	713
339	366	712
340	367	710
341	368	709
342	369	707
343	370	706
344	372	707
345	373	706
346	374	705
347	375	703
348	376	702
349	377	700
350	378	699
351	379	698
352	380	696
353	380	695
354	381	693
355	382	692
356	383	691
357	384	690
358	386	689
359	387	688
360	388	687
361	389	686
362	390	684
363	391	683
364	391	681
365	392	680
366	393	679
367	394	677
368	395	676
369	396	675
370	397	674
371	398	672
372	399	671
373	400	670
374	401	669
375	402	668
376	403	667
377	404	665
378	405	664
379	406	662
380	407	661
381	408	660
382	408	658
383	409	657
384	411	657
385	412	656
386	413	655
387	414	654
388	416	653
389	417	652
390	418	651
391	419	650
392	420	649
393	421	647
394	422	646
395	422	645
396	423	643
397	424	642
398	425	641
399	426	640
400	427	639
401	429	638
402	430	637
403	431	637
404	433	636
405	434	634
406	435	633
407	436	632
408	437	632
409	438	631
410	439	629
411	440	628
412	441	627
413	442	626
414	443	624
415	444	623
416	445	622
417	446	622
418	447	621
419	448	619
420	449	618
421	450	617
422	451	616
423	452	615
424	453	613
425	454	612
426	455	611
427	456	610
428	457	609
429	458	607
430	459	606
431	460	605
432	462	605
433	463	604
434	464	602
435	464	601
436	465	600
437	466	598
438	467	597
439	468	596
440	469	594
441	470	593
442	471	592
443	472	591
444	473	589
445	473	588
446	475	587
447	476	587
448	477	585
449	478	584
450	479	583
451	480	582
452	481	581
453	482	579
454	482	578
455	483	577
456	484	575
457	485	574
458	486	573
459	487	572
460	488	570
461	489	569
462	489	568
463	491	567
464	492	566
465	493	565
466	494	564
467	495	562
468	495	561
469	496	560
470	497	558
471	498	557
472	499	556
473	500	555
474	501	553
475	502	552
476	502	551
477	503	550
478	504	548
479	506	548
480	507	547
481	508	546
482	509	544
483	510	543
484	510	542
485	511	541
486	512	540
487	513	538
488	514	537
489	515	536
490	516	535
491	517	533
492	517	532
493	518	531
494	519	530
495	520	529
496	522	528
497	523	527
498	524	526
499	525	525
500	526	524
501	527	523
502	528	522
503	529	520
504	530	519
505	531	518
506	531	517
507	532	515
508	533	514
509	534	513
510	535	512
511	536	511
512	538	510
513	538	509
514	539	508
515	540	507
516	541	505
517	542	504
518	543	503
519	544	502
520	545	501
521	545	499
522	546	498
523	547	497
524	548	496
525	549	495
526	550	493
527	551	493
528	552	492
529	553	491
530	554	489
531	555	488
532	556	487
533	557	486
534	558	485
535	559	483
536	559	482
537	560	481
538	561	480
539	562	479
540	563	478
541	564	477
542	565	475
543	566	475
544	568	474
545	569	473
546	570	472
547	570	470
548	571	469
549	572	468
550	573	467
551	574	466
552	575	464
553	576	463
554	576	462
555	577	461
556	578	460
557	579	459
558	580	457
559	581	457
560	582	456
561	583	454
562	584	453
563	585	452
564	586	451
565	587	450
566	587	449
567	588	447
568	589	446
569	590	445
570	591	444
571	592	443
572	593	442
573	594	441
574	595	440
575	597	439
576	598	438
577	599	437
578	599	436
579	600	435
580	601	433
581	602	432
582	603	431
583	604	430
584	605	429
585	606	428
586	607	427
587	609	426
588	610	425
589	610	424
590	612	423
591	613	422
592	614	421
593	615	420
594	616	419
595	616	418
596	617	417
597	618	415
598	619	414
599	620	413
600	621	412
601	622	411
602	623	410
603	625	409
604	626	409
605	627	408
606	629	407
607	630	406
608	631	405
609	632	404
610	633	403
611	635	402
612	636	401
613	639	401
614	642	402
615	644	402
616	647	402
617	650	401
618	652	401
619	655	401
620	657	401
621	659	400
622	661	400
623	663	399
624	665	399
625	667	398
626	668	397
627	670	397
628	671	396
629	672	395
630	673	394
631	675	393
632	676	391
633	676	390
634	678	389
635	679	388
636	679	387
637	680	386
638	681	385
639	683	384
640	684	383
641	685	382
642	687	381
643	688	380
644	689	379
645	690	378
646	692	377
647	693	376
648	694	375
649	695	374
650	696	373
651	698	372
652	699	371
653	700	370
654	701	369
655	702	368
656	702	367
657	704	365
658	705	364
659	706	364
660	707	362
661	708	361
662	709	360
663	710	359
664	712	358
665	713	357
666	714	356
667	715	355
668	716	354
669	718	353
670	719	352
671	720	351
672	721	350
673	721	349
674	722	348
675	723	346
676	724	345
677	725	344
678	727	343
679	728	342
680	730	341
681	731	340
682	732	339
683	733	338
684	734	337
685	736	337
686	737	336
687	738	335
688	740	334
689	741	332
690	742	331
691	743	331
692	744	330
693	745	328
694	746	327
695	747	326
696	748	325
697	749	324
698	751	323
699	752	322
700	753	321
701	754	320
702	755	319
703	756	317
704	757	316
705	758	315
706	759	314
707	761	314
708	762	312
709	763	311
710	765	310
711	766	309
712	766	308
713	767	307
714	768	306
715	769	305
716	770	304
717	771	303
718	773	302
719	774	301
720	775	300
721	776	298
722	777	297
723	778	296
724	779	295
725	780	294
726	781	293
727	783	292
728	784	291
729	785	290
730	786	289
731	788	288
732	789	287
733	790	286
734	792	285
735	793	284
736	794	283
737	795	282
738	796	281
739	797	280
740	798	279
741	799	278
742	801	277
743	802	276
744	803	275
745	804	273
746	805	272
747	806	271
748	808	270
749	809	269
750	810	268
751	811	267
752	812	266
753	813	265
754	814	264
755	815	263
756	817	262
757	818	261
758	819	260
759	821	259
760	822	258
761	823	257
762	824	256
763	825	255
764	826	253
765	827	252
766	828	251
767	829	250
768	830	249
769	831	248
770	833	247
771	834	246
772	836	245
773	837	244
774	838	243
775	839	242
776	840	241
777	841	240
778	842	238
779	843	237
780	844	236
781	845	235
782	847	234
783	848	233
784	849	232
785	851	231
786	852	230
787	853	229
788	854	228
789	855	227
790	857	226
791	858	225
792	859	224
793	860	223
794	862	222
795	863	221
796	865	220
797	866	219
798	867	218
799	868	217
800	869	215
801	870	215
802	871	213
803	872	212
804	873	211
805	874	210
806	875	209
807	876	208
808	878	207
809	879	206
810	880	205
811	881	204
812	883	203
813	884	202
814	885	200
815	886	199
816	887	198
817	888	197
818	889	196
819	890	195
820	891	194
821	892	193
822	894	192
823	895	191
824	896	190
825	897	189
826	899	188
827	900	186
828	901	185
829	902	184
830	903	183
831	904	182
832	905	181
833	906	180
834	908	179
835	909	178
836	910	177
837	911	176
838	912	175
839	913	173
840	914	172
841	915	171
842	916	170
843	916	169
844	917	168
845	918	167
846	919	166
847	920	164
848	921	163
849	922	162
850	923	161
851	924	160
852	925	159
853	926	158
854	927	157
855	928	156
856	929	155
857	930	153
858	931	152
859	932	151
860	932	150
861	933	149
862	934	148
863	935	147
864	937	146
865	938	145
866	939	144
867	940	143
868	941	141
869	942	140
870	943	139
871	944	138
872	945	137
873	946	136
874	947	135
875	948	134
876	949	133
877	950	132
878	952	131
879	954	130
880	955	129
881	956	127
882	957	126
883	958	125
884	959	124
885	960	123
886	960	122
887	961	121
888	962	120
889	963	119
890	964	117
891	965	116
892	967	115
893	968	114
894	969	113
895	970	112
896	971	111
897	972	110
898	974	109
899	975	108
900	976	107
901	977	106
902	978	105
903	979	104
904	980	102
905	982	101
906	983	100
907	985	99
908	986	98
909	987	97
910	988	96
911	989	95
912	990	94
913	991	93
914	991	92
915	993	91
916	993	89
917	994	88
918	996	87
919	997	86
920	998	85
921	1000	84
922	1001	83
923	1002	82
924	1003	81
925	1004	80
926	1004	79
927	1005	78
928	1006	76
929	1007	75
930	1008	74
931	1009	73
932	1009	72
933	1011	71
934	1012	70
935	1013	69
936	1015	68
937	1016	67
938	1017	66
939	1018	64
940	1019	63
941	1020	62
942	1021	61
943	1022	60
944	1023	59
945	1024	58
946	1025	57
947	1027	56
948	1028	55
949	1029	54
950	1030	53
951	1031	52
952	1032	50
953	1033	49
954	1034	48
955	1035	47
956	1036	46
957	1037	45
958	1037	44
959	1038	43
960	1039	42
961	1040	41
962	1042	40
963	1043	38
964	1044	37
965	1045	36
966	1047	35
967	1047	34
968	1048	33
969	1049	32
970	1050	31
971	1051	30
972	1052	29
973	1053	28
974	1054	27
975	1055	25
976	1057	24
977	1058	23
978	1059	22
979	1060	21
980	1061	20
981	1062	19
982	1063	18
983	1064	17
984	1065	16
985	1066	15
986	1067	14
987	1067	12
988	1068	11
989	1069	10
990	1070	9
991	1072	8
992	1073	7
993	1074	6
994	1076	5
995	1077	4
996	1078	3
997	1079	2
998	1080	1
999	1081	0
